name,mentions,name_pos,cap_ratio,first_pct
Пер,5,False,1.0,24.6
Фенга,5,False,1.0,6.3
Охренеть,5,False,0.83,33.8
Гриммбит,5,False,1.0,97.7
Рон,5,True,1.0,0.3
Строитель,5,False,0.62,1.1
Джуниор,5,True,1.0,97.7
Взъяриться,5,False,0.62,6.2
Адель,5,True,1.0,0.7
Пов,5,True,0.83,72.2
Пиргос,5,False,1.0,30.7
Гастон,5,False,1.0,1.2
Глоссарий,5,False,0.71,0.0
Минекратос,5,True,1.0,0.4
Голдом,5,False,1.0,37.1
Волкоёб,5,False,1.0,81.4
Аоя,5,False,1.0,60.3
Веббер,5,False,1.0,93.0
Скарлета,5,True,1.0,0.3
Акрисия,5,True,1.0,0.7
Хань,5,False,1.0,7.0
Гоу,5,False,1.0,7.0
Сейдж,5,False,1.0,0.3
Дюнкер,5,False,1.0,0.5
Глинде,5,False,1.0,22.6
Кореландер,5,False,1.0,38.5
Азхар,5,True,1.0,0.3
Банни,4,True,1.0,0.5
Риччи,4,True,1.0,0.7
Цепной,4,False,0.67,12.4
Ричать,4,False,1.0,50.8
Молниеносный,4,False,0.67,9.0
Кэмпбелла,4,True,1.0,0.6
Леонкура,4,False,1.0,82.3
Безголовый,4,False,0.8,54.2
Ирма,4,True,1.0,57.9
Пугало,4,False,1.0,55.1
Карл,4,True,1.0,0.7
Сетцурый,4,False,1.0,48.1
Побочный,4,False,0.67,0.6
Алоис,4,True,1.0,1.2
Пента,4,True,1.0,47.0
Карт,4,True,1.0,41.1
Величество,4,False,1.0,40.7
Василиас,4,True,1.0,0.3
Гретхен,4,True,1.0,95.6
Бюффа,4,False,1.0,0.3
Пинь,4,False,1.0,21.8
Инь,4,False,1.0,21.8
Вайся,4,True,1.0,22.1
Ампер,4,False,1.0,0.3
Траша,4,False,1.0,22.8
Пиррой,4,True,1.0,35.1
Скарлетта-кнайта,4,True,1.0,96.7
Безэмоциональность,4,False,0.8,34.7
Пидорас,4,False,0.67,24.7
Уса,4,False,1.0,25.4
Ругге,4,False,1.0,31.8
Леопольд,4,True,1.0,0.2
Чуть-чуть,4,False,1.0,26.9
Гель,4,False,1.0,93.0
Момока,4,False,1.0,0.4
Мание,4,False,1.0,0.5
Элинор,4,True,1.0,41.2
Амитол,4,False,1.0,46.4
Топорный,4,False,0.8,45.4
Кандид,4,False,1.0,0.5
Юймина,4,False,1.0,16.3
Флорета,4,True,1.0,0.5
Ям,4,False,1.0,90.0
Блэкман,4,True,1.0,43.0
Барни,4,True,1.0,0.4
Антип,4,True,1.0,43.0
Куууурлааааа,4,False,1.0,17.3
Дур-дир,4,True,1.0,0.4
Бандзать,4,False,1.0,59.7
Финн,4,False,1.0,42.6
Шелли,4,True,1.0,42.6
Пересортировка,4,False,1.0,90.7
Лимор,4,False,1.0,92.5
Тирион,4,True,1.0,42.1
Бат,4,False,1.0,0.7
Адик,4,True,1.0,49.2
Эдгар,4,True,1.0,1.0
Лилиан,4,True,1.0,80.6
Графит,4,False,1.0,0.7
Геррик,4,True,1.0,1.2
Хлодвиг,4,False,1.0,1.1
Аква,4,False,1.0,0.7
Озирис,4,False,1.0,1.1
Алломунда,4,False,1.0,1.0
Шаманьон,4,False,1.0,72.6
Ало,4,True,1.0,77.9
Жон-жон,4,True,1.0,2.6
Бурок,4,False,1.0,61.4
Аспен,4,False,1.0,0.7
Копирайтер,4,False,1.0,1.5
Всепрощающий,4,False,1.0,1.4
Левиафан,4,False,1.0,66.1
Косматый,4,False,1.0,0.9
Гольстрим,4,False,1.0,67.9
Фатхи,4,True,1.0,0.7
Олений,4,False,0.8,1.2
Ахмар,4,True,1.0,63.9
Морриган,4,False,1.0,1.2
Дайчить,4,False,1.0,0.7
Здаров,4,True,1.0,72.6
Хай,4,False,1.0,1.0
Кромешник,4,False,1.0,67.2
Бэт,4,False,1.0,0.7
